ID	Type	Line	Tail	Head	Time
1016	0	17	417	416	1
1017	0	17	416	415	1
1018	0	17	415	414	0
1019	0	17	414	428	1
1020	0	17	428	429	1
1021	0	17	429	430	4
1022	1	17	73	412	0
1023	2	17	412	73	0
1024	1	17	74	413	0
1025	2	17	413	74	0
1026	1	17	58	414	0
1027	2	17	414	58	0
1028	1	17	61	415	0
1029	2	17	415	61	0
1030	1	17	93	416	0
1031	2	17	416	93	0
1032	1	17	39	417	0
1033	2	17	417	39	0
1034	1	17	45	418	0
1035	2	17	418	45	0
1036	1	17	63	419	0
1037	2	17	419	63	0
1038	1	17	12	420	0
1039	2	17	420	12	0
1040	1	17	97	421	0
1041	2	17	421	97	0
1042	1	17	4	422	0
1043	2	17	422	4	0
1044	1	17	67	423	0
1045	2	17	423	67	0
1046	1	17	20	424	0
1047	2	17	424	20	0
1048	1	17	94	425	0
1049	2	17	425	94	0
1050	1	17	112	426	0
1051	2	17	426	112	0
1052	1	17	92	427	0
1053	2	17	427	92	0
1054	1	17	65	428	0
1055	2	17	428	65	0
1056	1	17	56	429	0
1057	2	17	429	56	0
1058	1	17	72	430	0
1059	2	17	430	72	0
1060	0	18	431	432	3
1061	0	18	432	433	1
1062	0	18	433	434	70
1063	0	18	434	433	72
1064	0	18	433	432	1
1065	0	18	432	435	3
1066	1	18	73	431	0
1067	2	18	431	73	0
1068	1	18	86	432	0
1069	2	18	432	86	0
1070	1	18	5	433	0
1071	2	18	433	5	0
1072	1	18	113	434	0
1073	2	18	434	113	0
1074	1	18	72	435	0
1075	2	18	435	72	0
1076	0	19	436	437	1
1077	0	19	437	438	3
1078	0	19	438	439	2
1079	0	19	439	440	40
1080	0	19	440	439	39
1081	0	19	439	438	2
1082	0	19	438	437	6
1083	0	19	437	441	1
1084	1	19	73	436	0
1085	2	19	436	73	0
1086	1	19	46	437	0
1087	2	19	437	46	0
1088	1	19	30	438	0
1089	2	19	438	30	0
1090	1	19	43	439	0
1091	2	19	439	43	0
1092	1	19	114	440	0
1093	2	19	440	114	0
1094	1	19	72	441	0
1095	2	19	441	72	0
1096	0	20	442	443	1
1097	0	20	443	444	3
1098	0	20	444	445	2
1099	0	20	445	446	33
1100	0	20	446	445	33
1101	0	20	445	444	2
1102	0	20	444	443	4
1103	0	20	443	447	1
1104	1	20	73	442	0
1105	2	20	442	73	0
1106	1	20	46	443	0
1107	2	20	443	46	0
1108	1	20	30	444	0
1109	2	20	444	30	0
1110	1	20	43	445	0
1111	2	20	445	43	0
1112	1	20	115	446	0
1113	2	20	446	115	0
1114	1	20	72	447	0
1115	2	20	447	72	0
1116	0	21	448	449	17
1117	0	21	449	450	1
1118	0	21	450	451	4
1119	0	21	451	452	2
1120	0	21	452	453	1
1121	0	21	453	454	3
1122	0	21	454	455	2
1123	0	21	455	456	3
1124	0	21	456	457	3
1125	0	21	457	458	17
1126	0	21	458	457	17
1127	0	21	457	456	3
1128	0	21	456	455	2
1129	0	21	455	454	2
1130	0	21	454	453	2
1131	0	21	453	451	2
1132	0	21	452	450	3
1133	0	21	450	449	1
1134	0	21	449	448	17
1135	1	21	116	448	0
1136	2	21	448	116	0
1137	1	21	5	449	0
1138	2	21	449	5	0
1139	1	21	86	450	0
1140	2	21	450	86	0
1141	1	21	72	451	0
1142	2	21	451	72	0
1143	1	21	73	452	0
1144	2	21	452	73	0
